product_sku,product_name,product_price,product_link
09460040,Tijera Podar 8 # Tjp408 Uyustools,4860,http://ferreteriasur.cl/tijera-podar-8-tjp408-uyustools.html
09460035,Tijera 3 Claveles P/podar 25cm.(10),12870,http://ferreteriasur.cl/tijera-3-claveles-p-podar-25cm-10.html
09460034,Tijera 3 Claveles P/podar 23cm.(9),13140,http://ferreteriasur.cl/tijera-3-claveles-p-podar-23cm-9.html
09460030,Tijera P/podar P-126-22 Bahco,18380,http://ferreteriasur.cl/tijera-p-podar-p-126-22-bahco.html
09460020,Tijera P/cort. Pasto Ta-19e (te-19w) Truper 18390,12120,http://ferreteriasur.cl/tijera-p-cort-pasto-ta-19e-te-19w-truper-18390.html
09460019,Tijera  P/ Cortar Pasto T-17  10 Truper,8010,http://ferreteriasur.cl/tijera-p-cortar-pasto-t-17-10-truper.html
09460005,Tijera 12 Hojalatera Ks-00660-tjl212 Uyustools,7980,http://ferreteriasur.cl/tijera-12-hojalatera-ks-00660-tjl212-uyustools.html
07360016,Pala Plasmet Punta Huevo Mango Metalico,7300,http://ferreteriasur.cl/pala-plasmet-punta-huevo-mango-metalico.html
07360015,Pala Plasmet Punta Huevo,5740,http://ferreteriasur.cl/pala-plasmet-punta-huevo.html
07360011,Pala Redonda Pry-p Truper   # 17160,10110,http://ferreteriasur.cl/pala-redonda-pry-p-truper-17160.html
07360009,Pala Basurera C/mango,1530,http://ferreteriasur.cl/pala-basurera-c-mango.html
07360008,Pala Recta S/mango Truper Pazac-4 #19664,5790,http://ferreteriasur.cl/pala-recta-s-mango-truper-pazac-4-19664.html
07360007,Pala Lioi Punta Huevo C/ Pestana,5300,http://ferreteriasur.cl/pala-lioi-punta-huevo-c-pestana.html
07360006,Pala Plasmet Jardinera C/mango,6100,http://ferreteriasur.cl/pala-plasmet-jardinera-c-mango.html
05230017,Espatula York 16 Cm,3640,http://ferreteriasur.cl/espatula-york-16-cm.html
05230016,Espatula York 14 Cm,3380,http://ferreteriasur.cl/espatula-york-14-cm.html
05230015,Espatula York 12 Cm.,2920,http://ferreteriasur.cl/espatula-york-12-cm.html
05230014,Espatula York 10 Cm.,2560,http://ferreteriasur.cl/espatula-york-10-cm.html
05230013,Espatula York 8 Cm.,2420,http://ferreteriasur.cl/espatula-york-8-cm.html
05230011,Espatula York 6 Cm.,2010,http://ferreteriasur.cl/espatula-york-6-cm.html
05230010,Espatula York 5 Cm.,1920,http://ferreteriasur.cl/espatula-york-5-cm.html
04940042,Disco Corte Diamantado Ddu230 230mm Uyustools,12170,http://ferreteriasur.cl/disco-corte-diamantado-ddu230-230mm-uyustools.html
04940041,Disco Corte Diamantado Ddu180 180mm Uyustools,5910,http://ferreteriasur.cl/disco-corte-diamantado-ddu180-180mm-uyustools.html
04940040,Disco Corte Diamantado Ddu115 115mm Uyustools,1650,http://ferreteriasur.cl/disco-corte-diamantado-ddu115-115mm-uyustools.html
09740053,Llana Lisa Truper Llm-6l #15406,4230,http://ferreteriasur.cl/llana-lisa-truper-llm-6l-15406.html
09740049,Llave Ajustable Truper C/mango Pet-10x 10 #15511,6110,http://ferreteriasur.cl/llave-ajustable-truper-c-mango-pet-10x-10-15511.html
09740043,Juego Atornillador Truper  Dtj-5b 5 Pzs#14138,7320,http://ferreteriasur.cl/juego-atornillador-truper-dtj-5b-5-pzs-14138.html
09740034,Escuadra Albanil Truper 16 X 24  #14384,7250,http://ferreteriasur.cl/escuadra-albanil-truper-16-x-24-14384.html
09740032,Escuadra Carpintera Truper 12 Ec-12 #14376,4250,http://ferreteriasur.cl/escuadra-carpintera-truper-12-ec-12-14376.html
09740031,Escuadra Carpintera Truper 10 Ec-10 #14374,4130,http://ferreteriasur.cl/escuadra-carpintera-truper-10-ec-10-14374.html
09740030,Escuadra Carpintera Truper 8 Ec-8 #14372,3500,http://ferreteriasur.cl/escuadra-carpintera-truper-8-ec-8-14372.html
09740014,Caiman Truper Curvo Aislado 10 Ppt-10cx #17436,7160,http://ferreteriasur.cl/caiman-truper-curvo-aislado-10-ppt-10cx-17436.html
09740013,Caiman Truper Curvo 10 Ppt-10c #17423,5750,http://ferreteriasur.cl/caiman-truper-curvo-10-ppt-10c-17423.html
09740009,Alicate Corte Truper 1000v.6 T-202-6x #17331,4660,http://ferreteriasur.cl/alicate-corte-truper-1000v-6-t-202-6x-17331.html
09740006,Alicate Universal Truper 1000v.8 T-201-8x #17330,6580,http://ferreteriasur.cl/alicate-universal-truper-1000v-8-t-201-8x-17330.html
09740005,Alicate Universal Truper 1000 V. T-201-7x # 17329,5840,http://ferreteriasur.cl/alicate-universal-truper-1000-v-t-201-7x-17329.html
05180015,Display Escuadra Silla 4  X 4 Pzas.,2240,http://ferreteriasur.cl/display-escuadra-silla-4-x-4-pzas.html
05180013,Display Escuadra Silla 3 X 4 Pzas.,1820,http://ferreteriasur.cl/display-escuadra-silla-3-x-4-pzas.html
05180012,Display Escuadra Silla 2 1/2 X 4 Pzas.,1690,http://ferreteriasur.cl/display-escuadra-silla-2-1-2-x-4-pzas.html
05180011,Display Escuadra Silla 2 X 4 Pzas.,1320,http://ferreteriasur.cl/display-escuadra-silla-2-x-4-pzas.html
05180010,Display Escuadra Silla 1 1/2 X 4 Pzas.,1040,http://ferreteriasur.cl/display-escuadra-silla-1-1-2-x-4-pzas.html
05160016,Escuadra Carpintera Combi. Ect-12truper 14380,5670,http://ferreteriasur.cl/escuadra-carpintera-combi-ect-12truper-14380.html
05160015,Escuadra 7 Carpint Triangular Ect007 Uyustools,5220,http://ferreteriasur.cl/escuadra-7-carpint-triangular-ect007-uyustools.html
05150002,Escuadra Albanil China 600 X 400 Mm  Ect024,8060,http://ferreteriasur.cl/escuadra-albanil-china-600-x-400-mm-ect024.html
05140005,Escuadra Estante 10 X 12  Pga010,850,http://ferreteriasur.cl/escuadra-estante-10-x-12-pga010.html
05590027,Formon Truper  Ft1  1 14633,3240,http://ferreteriasur.cl/formon-truper-ft1-1-14633.html
05590026,Formon Truper  Ft3/4  3/4 14627,2910,http://ferreteriasur.cl/formon-truper-ft3-4-3-4-14627.html
05590024,Formon Truper 1/2,2850,http://ferreteriasur.cl/formon-truper-1-2.html
03670008,Carretilla Compensada Uro 90 Lt C/rueda,34150,http://ferreteriasur.cl/carretilla-compensada-uro-90-lt-c-rueda.html
03670007,"Carretilla Concretera Uro 90lt,tolva 0,8mm Roja",30930,http://ferreteriasur.cl/carretilla-concretera-uro-90lt-tolva-0-8mm-roja.html
03670006,Carretilla Lioi China Concretera Gris 80 Lt,28380,http://ferreteriasur.cl/carretilla-lioi-china-concretera-gris-80-lt.html
03670005,Carretilla Nino Cat-kit-t # 10440 Truper,15490,http://ferreteriasur.cl/carretilla-nino-cat-kit-t-10440-truper.html
03670002,Carretilla Concretera Lioi,41840,http://ferreteriasur.cl/carretilla-concretera-lioi.html
03670001,Carretilla Compensada Lioi,43890,http://ferreteriasur.cl/carretilla-compensada-lioi.html
30000017,Einhell Inglet. Tel.c/banco Tc-sm 2531/1 U 4300817,166060,http://ferreteriasur.cl/einhell-inglet-tel-c-banco-tc-sm-2531-1-u-4300817.html
04050002,Chuzo 1 1/4 X 1.60 Mts,17380,http://ferreteriasur.cl/chuzo-1-1-4-x-1-60-mts.html
11290004,Aceite P/motor Fuera Borda Lubetrack Tcw3 1:50 Lt,3870,http://ferreteriasur.cl/aceite-p-motor-fuera-borda-lubetrack-tcw3-1-50-lt.html
11290001,Aceite Motor Futoroil Sae 30 1 Lt,1850,http://ferreteriasur.cl/aceite-motor-futoroil-sae-30-1-lt.html
07890095,Martillo Carpintero Mgo.fibra Irimo 20 Oz 520-63-2,7980,http://ferreteriasur.cl/martillo-carpintero-mgo-fibra-irimo-20-oz-520-63-2.html
07890086,Alicate Irimo Cortante 6 624-160-1,5960,http://ferreteriasur.cl/alicate-irimo-cortante-6-624-160-1.html
07890083,Alicate Irimo Universal 7 601-180-1,5740,http://ferreteriasur.cl/alicate-irimo-universal-7-601-180-1.html
07890082,Alicate Irimo Universal 8 601-200-1,6050,http://ferreteriasur.cl/alicate-irimo-universal-8-601-200-1.html
16220211,Einhell Pistola Pintar Elec. 500w4260011,37900,http://ferreteriasur.cl/einhell-pistola-pintar-elec-500w4260011.html
09670005,Llave Angular C/flexible 1/2 He X 7/8 Hi,3900,http://ferreteriasur.cl/llave-angular-c-flexible-1-2-he-x-7-8-hi.html
